Country Name,Country Code,Year,Composite_Score,Grade,Continent
Tunisia,TUN,2023,0.440557052,C,Africa
Turkiye,TUR,2023,0.443643982,C,Asia
Uganda,UGA,2023,0.295131442,D,Africa
Ukraine,UKR,2023,0.415313178,D,Europe
United Arab Emirates,ARE,2023,0.655263505,A+,Asia
United Kingdom,GBR,2023,0.575210484,A,Europe
United States,USA,2023,0.558640906,B,North America
Uruguay,URY,2023,0.578214577,A,South America
Uzbekistan,UZB,2023,0.464899397,C,Asia
Viet Nam,VNM,2023,0.494727579,C,Asia
West Bank and Gaza,PSE,2023,0.350302826,D,Asia
Zambia,ZMB,2023,0.357906177,D,Africa
Zimbabwe,ZWE,2023,0.245567293,D,Africa
